400899375/October 25, 2016/New York Knicks/Cleveland Cavaliers
400899376/October 25, 2016/Utah Jazz/Portland Trail Blazers
400899377/October 25, 2016/San Antonio Spurs/Golden State Warriors
400899378/October 26, 2016/Miami Heat/Orlando Magic
400899379/October 26, 2016/Dallas Mavericks/Indiana Pacers
400899380/October 26, 2016/Brooklyn Nets/Boston Celtics
400899381/January 1, 2017/Detroit Pistons/Miami Heat
400899382/October 26, 2016/Detroit Pistons/Toronto Raptors
400899383/January 1, 2017/Orlando Magic/Indiana Pacers
400899384/October 26, 2016/Charlotte Hornets/Milwaukee Bucks
400899385/January 1, 2017/Portland Trail Blazers/Minnesota Timberwolves
400899386/October 26, 2016/Minnesota Timberwolves/Memphis Grizzlies
400899387/January 1, 2017/Toronto Raptors/Los Angeles Lakers
400899388/October 26, 2016/Denver Nuggets/New Orleans Pelicans
400899389/October 26, 2016/Oklahoma City Thunder/Philadelphia 76ers
400899390/April 1, 2017/Atlanta Hawks/Chicago Bulls
400899391/February 1, 2017/Toronto Raptors/Boston Celtics
400899392/December 1, 2016/Orlando Magic/Memphis Grizzlies
400899393/March 1, 2017/Washington Wizards/Toronto Raptors
400899394/February 1, 2017/New York Knicks/Brooklyn Nets
400899395/December 1, 2016/LA Clippers/Cleveland Cavaliers
400899396/April 1, 2017/Orlando Magic/Brooklyn Nets
400899397/February 1, 2017/Atlanta Hawks/Miami Heat
400899398/March 1, 2017/Dallas Mavericks/Atlanta Hawks
400899399/April 1, 2017/Sacramento Kings/Minnesota Timberwolves
400899400/February 1, 2017/New Orleans Pelicans/Detroit Pistons
400899401/April 1, 2017/Phoenix Suns/Portland Trail Blazers
400899402/February 1, 2017/Philadelphia 76ers/Dallas Mavericks
400899403/March 1, 2017/Philadelphia 76ers/Miami Heat
400899404/February 1, 2017/Memphis Grizzlies/Denver Nuggets
400899405/March 1, 2017/Denver Nuggets/Milwaukee Bucks
400899406/April 2, 2017/Charlotte Hornets/Oklahoma City Thunder
400899407/February 1, 2017/Milwaukee Bucks/Utah Jazz
400899408/April 2, 2017/Memphis Grizzlies/Los Angeles Lakers
400899409/March 1, 2017/Detroit Pistons/New Orleans Pelicans
400899410/January 2, 2017/Oklahoma City Thunder/Milwaukee Bucks
400899411/January 2, 2017/New Orleans Pelicans/Cleveland Cavaliers
400899412/October 26, 2016/Sacramento Kings/Phoenix Suns
400899413/January 2, 2017/Utah Jazz/Brooklyn Nets
400899414/January 2, 2017/Orlando Magic/New York Knicks
400899415/October 26, 2016/Houston Rockets/Los Angeles Lakers
400899416/January 2, 2017/Charlotte Hornets/Chicago Bulls
400899417/January 2, 2017/Washington Wizards/Houston Rockets
400899418/January 2, 2017/Phoenix Suns/LA Clippers
400899419/January 2, 2017/Denver Nuggets/Golden State Warriors
400899420/October 27, 2016/Washington Wizards/Atlanta Hawks
400899421/January 3, 2017/Minnesota Timberwolves/Philadelphia 76ers
400899422/October 27, 2016/Boston Celtics/Chicago Bulls
400899423/January 3, 2017/Utah Jazz/Boston Celtics
400899424/October 27, 2016/San Antonio Spurs/Sacramento Kings
400899425/January 3, 2017/Indiana Pacers/Detroit Pistons
400899426/October 27, 2016/LA Clippers/Portland Trail Blazers
400899427/January 3, 2017/Washington Wizards/Dallas Mavericks
400899428/January 3, 2017/Toronto Raptors/San Antonio Spurs
400899429/October 28, 2016/Cleveland Cavaliers/Toronto Raptors
400899430/February 1, 2017/LA Clippers/Phoenix Suns
400899431/April 2, 2017/Dallas Mavericks/Milwaukee Bucks
400899432/March 1, 2017/Cleveland Cavaliers/Boston Celtics
400899433/February 1, 2017/Chicago Bulls/Oklahoma City Thunder
400899434/December 1, 2016/Miami Heat/Utah Jazz
400899435/February 1, 2017/Charlotte Hornets/Golden State Warriors
400899436/December 1, 2016/Houston Rockets/Golden State Warriors
400899437/March 1, 2017/Indiana Pacers/San Antonio Spurs
400899438/April 2, 2017/Boston Celtics/New York Knicks
400899439/April 2, 2017/Chicago Bulls/New Orleans Pelicans
400899440/April 2, 2017/Philadelphia 76ers/Toronto Raptors
400899441/April 2, 2017/Atlanta Hawks/Brooklyn Nets
400899442/March 1, 2017/Minnesota Timberwolves/Utah Jazz
400899443/December 2, 2016/Orlando Magic/Philadelphia 76ers
400899444/April 2, 2017/Denver Nuggets/Miami Heat
400899445/March 1, 2017/Houston Rockets/LA Clippers
400899446/February 2, 2017/Los Angeles Lakers/Washington Wizards
400899447/December 2, 2016/Sacramento Kings/Boston Celtics
400899448/March 1, 2017/Brooklyn Nets/Sacramento Kings
400899449/February 2, 2017/Atlanta Hawks/Houston Rockets
400899450/January 3, 2017/Sacramento Kings/Denver Nuggets
400899451/January 3, 2017/Miami Heat/Phoenix Suns
400899452/October 28, 2016/Indiana Pacers/Brooklyn Nets
400899453/January 3, 2017/Memphis Grizzlies/Los Angeles Lakers
400899454/October 28, 2016/Orlando Magic/Detroit Pistons
400899455/October 28, 2016/Phoenix Suns/Oklahoma City Thunder
400899456/October 28, 2016/Charlotte Hornets/Miami Heat
400899457/October 28, 2016/Houston Rockets/Dallas Mavericks
400899458/October 28, 2016/Los Angeles Lakers/Utah Jazz
400899459/October 28, 2016/Golden State Warriors/New Orleans Pelicans
400899470/February 2, 2017/Philadelphia 76ers/San Antonio Spurs
400899471/April 2, 2017/Indiana Pacers/Cleveland Cavaliers
400899472/February 2, 2017/Golden State Warriors/LA Clippers
400899473/April 2, 2017/Utah Jazz/San Antonio Spurs
400899474/April 2, 2017/Washington Wizards/Golden State Warriors
400899475/April 2, 2017/Houston Rockets/Phoenix Suns
400899476/October 29, 2016/Atlanta Hawks/Philadelphia 76ers
400899477/October 29, 2016/Boston Celtics/Charlotte Hornets
400899478/October 29, 2016/Memphis Grizzlies/New York Knicks
400899479/October 29, 2016/Orlando Magic/Cleveland Cavaliers
400899480/October 29, 2016/Indiana Pacers/Chicago Bulls
400899481/October 29, 2016/Brooklyn Nets/Milwaukee Bucks
400899482/October 29, 2016/New Orleans Pelicans/San Antonio Spurs
400899483/October 29, 2016/Portland Trail Blazers/Denver Nuggets
400899484/October 29, 2016/Minnesota Timberwolves/Sacramento Kings
400899485/October 30, 2016/Utah Jazz/LA Clippers
400899486/October 30, 2016/Golden State Warriors/Phoenix Suns
400899487/October 30, 2016/San Antonio Spurs/Miami Heat
400899488/October 30, 2016/Milwaukee Bucks/Detroit Pistons
400899489/October 30, 2016/Washington Wizards/Memphis Grizzlies
400899490/October 30, 2016/Los Angeles Lakers/Oklahoma City Thunder
400899491/October 30, 2016/Dallas Mavericks/Houston Rockets
400899492/October 31, 2016/Denver Nuggets/Toronto Raptors
400899493/October 31, 2016/Chicago Bulls/Brooklyn Nets
400899494/October 31, 2016/Sacramento Kings/Atlanta Hawks
400899495/October 31, 2016/Phoenix Suns/LA Clippers
400899496/November 1, 2016/Orlando Magic/Philadelphia 76ers
400899497/November 1, 2016/Houston Rockets/Cleveland Cavaliers
400899498/November 1, 2016/Los Angeles Lakers/Indiana Pacers
400899499/November 1, 2016/Sacramento Kings/Miami Heat
400899500/November 1, 2016/New York Knicks/Detroit Pistons
400899501/November 1, 2016/Milwaukee Bucks/New Orleans Pelicans
400899502/November 1, 2016/Memphis Grizzlies/Minnesota Timberwolves
400899503/November 1, 2016/Utah Jazz/San Antonio Spurs
400899504/November 1, 2016/Golden State Warriors/Portland Trail Blazers
400899505/November 2, 2016/Toronto Raptors/Washington Wizards
400899506/November 2, 2016/Philadelphia 76ers/Charlotte Hornets
400899507/November 2, 2016/Detroit Pistons/Brooklyn Nets
400899508/November 2, 2016/Houston Rockets/New York Knicks
400899509/November 2, 2016/Los Angeles Lakers/Atlanta Hawks
400899510/November 2, 2016/New Orleans Pelicans/Memphis Grizzlies
400899511/November 2, 2016/Chicago Bulls/Boston Celtics
400899512/November 2, 2016/Dallas Mavericks/Utah Jazz
400899513/November 2, 2016/Portland Trail Blazers/Phoenix Suns
400899514/November 2, 2016/Oklahoma City Thunder/LA Clippers
400899515/November 3, 2016/Sacramento Kings/Orlando Magic
400899516/November 3, 2016/Indiana Pacers/Milwaukee Bucks
400899517/November 3, 2016/Denver Nuggets/Minnesota Timberwolves
400899518/November 3, 2016/Boston Celtics/Cleveland Cavaliers
400899519/November 3, 2016/Oklahoma City Thunder/Golden State Warriors
400899520/November 4, 2016/Atlanta Hawks/Washington Wizards
400899521/November 4, 2016/Miami Heat/Toronto Raptors
400899522/November 4, 2016/Charlotte Hornets/Brooklyn Nets
400899523/November 4, 2016/New York Knicks/Chicago Bulls
400899524/November 4, 2016/LA Clippers/Memphis Grizzlies
400899525/November 4, 2016/Phoenix Suns/New Orleans Pelicans
400899526/November 4, 2016/Portland Trail Blazers/Dallas Mavericks
400899527/November 4, 2016/San Antonio Spurs/Utah Jazz
400899528/November 4, 2016/Golden State Warriors/Los Angeles Lakers
400899529/November 5, 2016/Minnesota Timberwolves/Oklahoma City Thunder
400899530/November 5, 2016/Cleveland Cavaliers/Philadelphia 76ers
400899531/November 5, 2016/Washington Wizards/Orlando Magic
400899532/November 5, 2016/Denver Nuggets/Detroit Pistons
400899533/November 5, 2016/Chicago Bulls/Indiana Pacers
400899534/November 5, 2016/Houston Rockets/Atlanta Hawks
400899535/November 5, 2016/Sacramento Kings/Milwaukee Bucks
400899536/November 5, 2016/LA Clippers/San Antonio Spurs
400899537/November 6, 2016/Utah Jazz/New York Knicks
400899538/November 6, 2016/Portland Trail Blazers/Memphis Grizzlies
400899539/November 6, 2016/Sacramento Kings/Toronto Raptors
400899540/November 6, 2016/Milwaukee Bucks/Dallas Mavericks
400899541/November 6, 2016/Denver Nuggets/Boston Celtics
400899542/November 6, 2016/Phoenix Suns/Los Angeles Lakers
400899543/November 7, 2016/Utah Jazz/Philadelphia 76ers
400899544/November 7, 2016/Houston Rockets/Washington Wizards
400899545/November 7, 2016/Indiana Pacers/Charlotte Hornets
400899546/November 7, 2016/Orlando Magic/Chicago Bulls
400899547/November 7, 2016/Miami Heat/Oklahoma City Thunder
400899548/November 7, 2016/Detroit Pistons/LA Clippers
400899549/November 7, 2016/New Orleans Pelicans/Golden State Warriors
400899550/November 8, 2016/Atlanta Hawks/Cleveland Cavaliers
400899551/November 8, 2016/Minnesota Timberwolves/Brooklyn Nets
400899552/November 8, 2016/Denver Nuggets/Memphis Grizzlies
400899553/November 8, 2016/Phoenix Suns/Portland Trail Blazers
400899554/November 8, 2016/Dallas Mavericks/Los Angeles Lakers
400899555/November 8, 2016/New Orleans Pelicans/Sacramento Kings
400899556/November 9, 2016/Brooklyn Nets/New York Knicks
